leto,povp. T [°C],povp. min T [°C],abs. min T [°C],max višina snega [cm],št. mrzlih dni,št. ledenih dni,št. hladnih dni,št. dni s snegom >0.1 mm,št. dni s snežno odejo
1948,,,,,,,,,
1949,6.5,0.8,-18.8,47.0,34.0,16.0,158.0,21.0,138.0
1950,6.6,1.4,-19.7,150.0,22.0,28.0,163.0,51.0,150.0
1951,6.5,1.7,-15.2,220.0,12.0,7.0,166.0,58.0,157.0
1952,5.9,0.2,-19.9,240.0,47.0,40.0,170.0,36.0,139.0
1953,6.4,1.0,-20.6,105.0,41.0,33.0,164.0,22.0,100.0
1954,5.5,0.8,-23.8,61.0,44.0,36.0,150.0,32.0,100.0
1955,5.8,1.1,-15.2,100.0,20.0,23.0,164.0,45.0,103.0
1956,4.9,0.2,-24.5,49.0,37.0,54.0,165.0,40.0,128.0
1957,6.3,1.5,-17.6,56.0,18.0,18.0,152.0,21.0,91.0
1958,6.2,1.2,-21.6,128.0,40.0,21.0,148.0,26.0,119.0
1959,6.6,1.6,-16.8,90.0,20.0,22.0,142.0,19.0,58.0
1960,6.1,1.7,-20.5,122.0,27.0,35.0,138.0,26.0,128.0
1961,6.7,1.4,-21.2,82.0,32.0,31.0,136.0,22.0,111.0
1962,4.9,-0.1,-19.0,95.0,49.0,43.0,171.0,44.0,155.0
1963,5.5,0.4,-23.2,125.0,53.0,56.0,145.0,42.0,119.0
1964,5.8,0.7,-19.7,96.0,41.0,41.0,160.0,30.0,107.0
1965,4.9,-0.5,-19.8,178.0,58.0,39.0,179.0,52.0,161.0
1966,6.3,1.3,-20.2,68.0,37.0,33.0,146.0,46.0,133.0
1967,6.1,0.9,-20.4,110.0,37.0,35.0,157.0,35.0,125.0
1968,5.6,0.5,-24.8,101.0,42.0,43.0,158.0,49.0,140.0
1969,5.4,0.1,-23.0,181.0,47.0,57.0,173.0,66.0,159.0
1970,5.2,0.1,-22.0,167.0,41.0,40.0,179.0,64.0,161.0
1971,5.7,0.3,-22.0,107.0,38.0,36.0,160.0,50.0,141.0
1972,5.4,0.5,-15.2,100.0,33.0,45.0,167.0,41.0,136.0
1973,5.5,0.2,-18.8,130.0,44.0,27.0,181.0,33.0,126.0
1974,6.1,1.3,-12.2,85.0,3.0,6.0,167.0,31.0,117.0
1975,6.1,1.4,-17.6,135.0,22.0,15.0,164.0,42.0,98.0
1976,5.7,0.4,-19.8,112.0,30.0,35.0,163.0,37.0,139.0
1977,6.0,1.1,-17.7,104.0,27.0,27.0,159.0,48.0,146.0
1978,4.6,-0.2,-21.2,190.0,34.0,40.0,176.0,54.0,155.0
1979,5.5,0.8,-22.7,102.0,32.0,31.0,165.0,57.0,163.0
1980,4.8,0.3,-20.1,106.0,37.0,48.0,175.0,53.0,171.0
1981,5.5,0.4,-21.8,118.0,55.0,34.0,155.0,40.0,124.0
1982,6.1,1.3,-19.3,92.0,33.0,26.0,160.0,45.0,137.0
1983,6.2,0.9,-20.2,82.0,37.0,25.0,169.0,26.0,100.0
1984,5.3,0.4,-20.4,173.0,34.0,36.0,176.0,51.0,152.0
1985,5.5,0.3,-26.4,90.0,44.0,43.0,174.0,57.0,159.0
1986,5.6,0.5,-22.0,113.0,42.0,45.0,164.0,49.0,146.0
1987,5.7,1.0,-24.3,114.0,54.0,41.0,153.0,36.0,150.0
1988,6.3,1.3,-19.2,75.0,31.0,13.0,160.0,33.0,130.0
1989,6.5,1.5,-14.2,17.0,18.0,13.0,146.0,11.0,43.0
1990,6.5,1.4,-14.4,71.0,26.0,27.0,158.0,34.0,65.0
1991,5.5,0.7,-20.4,110.0,48.0,45.0,163.0,40.0,147.0
1992,7.0,1.9,-15.6,42.0,19.0,21.0,152.0,27.0,124.0
1993,6.4,1.6,-18.2,73.0,23.0,28.0,145.0,29.0,114.0
1994,7.6,2.7,-17.6,75.0,16.0,17.0,130.0,30.0,97.0
1995,6.4,1.5,-15.5,71.0,24.0,28.0,159.0,44.0,131.0
1996,5.9,1.2,-20.8,98.0,37.0,37.0,148.0,43.0,142.0
1997,6.7,1.6,-13.1,58.0,18.0,22.0,169.0,32.0,111.0
1998,6.8,1.5,-16.7,26.0,29.0,28.0,161.0,22.0,118.0
1999,6.7,1.7,-20.3,119.0,40.0,26.0,142.0,35.0,133.0
2000,7.6,2.4,-20.4,40.0,32.0,18.0,117.0,12.0,95.0
2001,7.0,1.7,-18.1,38.0,31.0,33.0,132.0,29.0,87.0
2002,7.6,2.8,-17.5,14.0,15.0,21.0,134.0,22.0,68.0
2003,7.0,1.3,-21.0,45.0,39.0,22.0,162.0,36.0,113.0
2004,6.3,1.4,-20.1,125.0,30.0,29.0,147.0,42.0,158.0
2005,5.8,0.7,-24.3,107.0,53.0,50.0,156.0,39.0,129.0
2006,6.9,1.4,-20.4,124.0,38.0,28.0,149.0,42.0,122.0
2007,7.5,2.2,-14.0,82.0,10.0,7.0,150.0,27.0,106.0
2008,7.2,2.5,-16.7,128.0,21.0,16.0,141.0,43.0,111.0
2009,7.1,2.0,-21.2,163.0,27.0,31.0,137.0,41.0,139.0
2010,6.5,1.7,-19.0,79.0,34.0,54.0,138.0,49.0,142.0
2011,7.6,1.9,-16.3,27.0,23.0,21.0,143.0,20.0,102.0
2012,7.3,2.1,-17.4,28.0,36.0,32.0,139.0,33.0,101.0
2013,7.1,2.4,-16.8,115.0,13.0,23.0,136.0,45.0,141.0
2014,8.0,3.6,-14.2,120.0,3.0,14.0,124.0,39.0,103.0
2015,7.9,2.6,-13.6,40.0,7.0,11.0,149.0,21.0,88.0
2016,7.5,2.6,-13.2,68.0,11.0,8.0,140.0,36.0,76.0
2017,7.2,1.9,-19.0,37.0,35.0,28.0,138.0,33.0,100.0
2018,7.9,3.1,-21.1,85.0,13.0,26.0,129.0,38.0,107.0
2019,8.0,3.0,-14.9,46.0,13.0,13.0,130.0,36.0,83.0
2020,7.5,2.4,-12.7,95.0,2.0,10.0,155.0,29.0,55.0
